
('094004', '79406', 'D3', 'Bahasa Jerman - 79406'),
('094004', '79406', 'D3', 'Bahasa Jerman - 79406'),
('114041', '79402', 'D3', 'Bahasa Inggris - 79402'),
('114041', '79402', 'D3', 'Bahasa Inggris - 79402'),
('094042', '79402', 'D3', 'Bahasa Inggris - 79402'),
('094042', '79402', 'D3', 'Bahasa Inggris - 79402'),
('024050', '79402', 'D3', 'Bahasa Inggris - 79402'),
('024050', '79402', 'D3', 'Bahasa Inggris - 79402'),
('034013', '79402', 'D3', 'Bahasa Inggris - 79402'),
('034013', '79404', 'D3', 'Bahasa Jepang - 79404'),
('034013', '79405', 'D3', 'Bahasa Perancis - 79405'),
('034013', '79405', 'D3', 'Bahasa Perancis - 79405'),
('034156', '79402', 'D3', 'Bahasa Inggris - 79402'),
('034156', '79409', 'D3', 'Bahasa Mandarin - 79409'),
('034156', '79409', 'D3', 'Bahasa Mandarin - 79409'),
('044066', '79402', 'D3', 'Bahasa Inggris - 79402'),
('044066', '79402', 'D3', 'Bahasa Inggris - 79402'),
('084012', '79402', 'D3', 'Bahasa Inggris - 79402'),
('084012', '79402', 'D3', 'Bahasa Inggris - 79402'),
('114042', '79402', 'D3', 'Bahasa Inggris - 79402'),
('114042', '79402', 'D3', 'Bahasa Inggris - 79402'),
('024017', '79402', 'D3', 'Bahasa Inggris - 79402'),
('024017', '79402', 'D3', 'Bahasa Inggris - 79402'),
('024123', '79402', 'D3', 'Bahasa Inggris - 79402'),
('024123', '79402', 'D3', 'Bahasa Inggris - 79402'),
('024123', '79402', 'D3', 'Bahasa Inggris - 79402'),
('064063', '79402', 'D3', 'Bahasa Inggris - 79402'),
('064063', '79402', 'D3', 'Bahasa Inggris - 79402'),
('064077', '79402', 'D3', 'Bahasa Inggris - 79402'),
('064077', '79402', 'D3', 'Bahasa Inggris - 79402'),
('064009', '79402', 'D3', 'Bahasa Inggris - 79402'),
('064009', '79402', 'D3', 'Bahasa Inggris - 79402'),
('044133', '79402', 'D3', 'Bahasa Inggris - 79402'),
('044133', '79409', 'D3', 'Bahasa Mandarin - 79409'),
('044133', '79409', 'D3', 'Bahasa Mandarin - 79409'),
('034050', '79402', 'D3', 'Bahasa Inggris - 79402'),
('034050', '79410', 'D3', 'Bahasa Korea - 79410'),
('034050', '79410', 'D3', 'Bahasa Korea - 79410'),
('144009', '79402', 'D3', 'Bahasa Inggris - 79402'),
('144009', '79402', 'D3', 'Bahasa Inggris - 79402'),
('084038', '79402', 'D3', 'Bahasa Inggris - 79402'),
('084038', '79402', 'D3', 'Bahasa Inggris - 79402'),
('104058', '79402', 'D3', 'Bahasa Inggris - 79402'),
('104058', '79402', 'D3', 'Bahasa Inggris - 79402'),
('104116', '79402', 'D3', 'Bahasa Inggris - 79402'),
('104116', '79402', 'D3', 'Bahasa Inggris - 79402'),
('114095', '79402', 'D3', 'Bahasa Inggris - 79402'),
('114095', '79402', 'D3', 'Bahasa Inggris - 79402'),
('104032', '79402', 'D3', 'Bahasa Inggris - 79402'),
('104032', '79402', 'D3', 'Bahasa Inggris - 79402'),
('114034', '79602', 'D1', 'Bahasa Inggris - 79602'),
('114034', '79402', 'D3', 'Bahasa Inggris - 79402'),
('114034', '79402', 'D3', 'Bahasa Inggris - 79402'),
('034125', '79402', 'D3', 'Bahasa Inggris - 79402'),
('034125', '79402', 'D3', 'Bahasa Inggris - 79402'),
('064073', '79402', 'D3', 'Bahasa Inggris - 79402'),
('064073', '79402', 'D3', 'Bahasa Inggris - 79402'),
('064080', '79402', 'D3', 'Bahasa Inggris - 79402'),
('064080', '79404', 'D3', 'Bahasa Jepang - 79404'),
('064080', '79409', 'D3', 'Bahasa Mandarin - 79409'),
('064080', '79409', 'D3', 'Bahasa Mandarin - 79409'),
('034091', '79402', 'D3', 'Bahasa Inggris - 79402'),
('034091', '79402', 'D3', 'Bahasa Inggris - 79402'),
('084023', '79402', 'D3', 'Bahasa Inggris - 79402'),
('084023', '79402', 'D3', 'Bahasa Inggris - 79402'),
('034099', '79402', 'D3', 'Bahasa Inggris - 79402'),
('034099', '79402', 'D3', 'Bahasa Inggris - 79402'),
('054065', '79402', 'D3', 'Bahasa Inggris - 79402'),
('054065', '79402', 'D3', 'Bahasa Inggris - 79402'),
('064013', '79402', 'D3', 'Bahasa Inggris - 79402'),
('064013', '79402', 'D3', 'Bahasa Inggris - 79402'),
('104049', '79602', 'D1', 'Bahasa Inggris - 79602'),
('104049', '79402', 'D3', 'Bahasa Inggris - 79402'),
('104049', '79402', 'D3', 'Bahasa Inggris - 79402'),
('094001', '79402', 'D3', 'Bahasa Inggris - 79402'),
('094001', '79402', 'D3', 'Bahasa Inggris - 79402'),
('074006', '79402', 'D3', 'Bahasa Inggris - 79402'),
('074006', '79402', 'D3', 'Bahasa Inggris - 79402'),
('114047', '79402', 'D3', 'Bahasa Inggris - 79402'),
('114047', '79402', 'D3', 'Bahasa Inggris - 79402'),
('114047', '79402', 'D3', 'Bahasa Inggris - 79402'),
('054003', '79402', 'D3', 'Bahasa Inggris - 79402'),
('054003', '79404', 'D3', 'Bahasa Jepang - 79404'),
('054003', '79404', 'D3', 'Bahasa Jepang - 79404'),
('044008', '79402', 'D3', 'Bahasa Inggris - 79402'),
('044008', '79402', 'D3', 'Bahasa Inggris - 79402'),
('034241', '11412', '', 'Teknologi Bank Darah - 11412'),
('034241', '11412', '', 'Teknologi Bank Darah - 11412'),
('014002', '61406', 'D3', 'Keuangan Dan Perbankan - 61406'),
('014002', '61406', 'D3', 'Keuangan Dan Perbankan - 61406'),
('124015', '61406', 'D3', 'Keuangan Dan Perbankan - 61406'),
('124015', '61406', 'D3', 'Keuangan Dan Perbankan - 61406'),
('114052', '61406', 'D3', 'Keuangan Dan Perbankan - 61406'),
('114052', '61406', 'D3', 'Keuangan Dan Perbankan - 61406'),
('064050', '90442', 'D3', 'Desain Grafis - 90442'),
('064050', '90421', 'D3', 'Desain Interior - 90421'),
('064050', '90421', 'D3', 'Desain Interior - 90421'),
('064050', '90421', 'D3', 'Desain Interior - 90421'),
('064150', '62401', 'D3', 'Akuntansi - 62401'),
('064150', '93401', 'D3', 'Kewirausahaan - 93401'),
('064150', '93401', 'D3', 'Kewirausahaan - 93401'),
('064158', '48402', 'D3', 'Analis Farmasi - 48402'),
('064158', '48402', 'D3', 'Analis Farmasi - 48402'),
('044186', '48401', 'D3', 'Farmasi - 48401'),
('044186', '48401', 'D3', 'Farmasi - 48401'),
('064070', '48401', 'D3', 'Farmasi - 48401'),
('064070', '48401', 'D3', 'Farmasi - 48401'),
('034197', '48401', 'D3', 'Farmasi - 48401'),
('034197', '48401', 'D3', 'Farmasi - 48401'),
('094147', '48401', 'D3', 'Farmasi - 48401'),
('094147', '48401', 'D3', 'Farmasi - 48401'),
('094049', '48401', 'D3', 'Farmasi - 48401'),
('094049', '48401', 'D3', 'Farmasi - 48401'),
('044239', '48401', 'D3', 'Farmasi - 48401'),
('044239', '48401', 'D3', 'Farmasi - 48401'),
('104047', '48401', 'D3', 'Farmasi - 48401'),
('104047', '48401', 'D3', 'Farmasi - 48401'),
('034182', '48401', 'D3', 'Farmasi - 48401'),
('034182', '48401', 'D3', 'Farmasi - 48401'),
('034221', '48401', 'D3', 'Farmasi - 48401'),
('034221', '48401', 'D3', 'Farmasi - 48401'),
('104137', '48401', 'D3', 'Farmasi - 48401'),
('104137', '48401', 'D3', 'Farmasi - 48401'),
('014041', '48401', 'D3', 'Farmasi - 48401'),
('014041', '48401', 'D3', 'Farmasi - 48401'),
('054067', '48401', 'D3', 'Farmasi - 48401'),
('054067', '48401', 'D3', 'Farmasi - 48401'),
('114101', '48401', 'D3', 'Farmasi - 48401'),
('114101', '48401', 'D3', 'Farmasi - 48401'),
('074122', '48401', 'D3', 'Farmasi - 48401'),
('074122', '48401', 'D3', 'Farmasi - 48401'),
('114103', '48401', 'D3', 'Farmasi - 48401'),
('114103', '48401', 'D3', 'Farmasi - 48401'),
('094094', '48401', 'D3', 'Farmasi - 48401'),
('094094', '48401', 'D3', 'Farmasi - 48401'),
('064108', '48401', 'D3', 'Farmasi - 48401'),
('064108', '48401', 'D3', 'Farmasi - 48401'),
('034202', '48401', 'D3', 'Farmasi - 48401'),
('034202', '48401', 'D3', 'Farmasi - 48401'),
('094103', '48401', 'D3', 'Farmasi - 48401'),
('094103', '48401', 'D3', 'Farmasi - 48401'),
('074117', '48401', 'D3', 'Farmasi - 48401'),
('074117', '48401', 'D3', 'Farmasi - 48401'),
('044210', '48401', 'D3', 'Farmasi - 48401'),
('044210', '48401', 'D3', 'Farmasi - 48401'),
('044227', '48401', 'D3', 'Farmasi - 48401'),
('044227', '48401', 'D3', 'Farmasi - 48401'),
('344009', '48401', 'D3', 'Farmasi - 48401'),
('344009', '48401', 'D3', 'Farmasi - 48401'),
('064099', '48401', 'D3', 'Farmasi - 48401'),
('064099', '48401', 'D3', 'Farmasi - 48401'),
('064153', '48401', 'D3', 'Farmasi - 48401'),
('064153', '48401', 'D3', 'Farmasi - 48401'),
('104131', '48401', 'D3', 'Farmasi - 48401'),
('104131', '48401', 'D3', 'Farmasi - 48401'),
('344023', '48401', 'D3', 'Farmasi - 48401'),
('344023', '48401', 'D3', 'Farmasi - 48401'),
('074082', '48401', 'D3', 'Farmasi - 48401'),
('074082', '48401', 'D3', 'Farmasi - 48401'),
('104074', '48401', 'D3', 'Farmasi - 48401'),
('104074', '48401', 'D3', 'Farmasi - 48401'),
('114054', '48401', 'D3', 'Farmasi - 48401'),
('114054', '48401', 'D3', 'Farmasi - 48401'),
('094113', '48401', 'D3', 'Farmasi - 48401'),
('094113', '48401', 'D3', 'Farmasi - 48401'),
('084043', '48401', 'D3', 'Farmasi - 48401'),
('084043', '48401', 'D3', 'Farmasi - 48401'),
('084040', '48401', 'D3', 'Farmasi - 48401'),
('084040', '48401', 'D3', 'Farmasi - 48401'),
('074129', '48401', 'D3', 'Farmasi - 48401'),
('074129', '48401', 'D3', 'Farmasi - 48401'),
('094141', '48401', 'D3', 'Farmasi - 48401'),
('094141', '48401', 'D3', 'Farmasi - 48401'),
('064129', '48401', 'D3', 'Farmasi - 48401'),
('064129', '48401', 'D3', 'Farmasi - 48401'),
('094146', '48401', 'D3', 'Farmasi - 48401'),
('094146', '48401', 'D3', 'Farmasi - 48401'),
